n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,8.7563781738,3,BKPIECEkConfigDefault,1,0.0137660503,3.0073571205,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6998323330329276, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.4267258762611362, 'failed_expansion_score_factor': 0.4242391235538215, 'min_valid_path_fraction': 0.4451314227333538, 'type': 'geometric::BKPIECE'}"
2,12.0695981979,0.9429340363,BKPIECEkConfigDefault,1,1.7444269657,0.9429340363,1.7032562878,7.3031749909,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.4703987621149336, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.055118252416095, 'failed_expansion_score_factor': 0.3185675446770993, 'min_valid_path_fraction': 0.3150937585314489, 'type': 'geometric::BKPIECE'}"
3,19.1509280205,0.9989061356,BKPIECEkConfigDefault,1,1.8805119991,0.9989061356,1.702988786,8.8054732556,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.8869685800018744, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.1794845515821113, 'failed_expansion_score_factor': 0.3291155742602319, 'min_valid_path_fraction': 0.9139619200131992, 'type': 'geometric::BKPIECE'}"
4,24.286575079,0.4843568802,BKPIECEkConfigDefault,1,1.7734570503,0.4843568802,1.7030823395,7.4727794457,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6193629989707925, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.378685518681157, 'failed_expansion_score_factor': 0.7612475547541216, 'min_valid_path_fraction': 0.7742091832994852, 'type': 'geometric::BKPIECE'}"
5,30.1324560642,0.6808362007,BKPIECEkConfigDefault,1,1.8115479946,0.6808362007,1.7032930335,7.9402432246,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.8200051044944865, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.378685518681157, 'failed_expansion_score_factor': 0.7612475547541216, 'min_valid_path_fraction': 0.7742091832994852, 'type': 'geometric::BKPIECE'}"
6,36.2107059956,0.7269852161,BKPIECEkConfigDefault,1,1.5254619122,0.7269852161,1.7029753475,6.8059308759,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6193629989707925, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.378685518681157, 'failed_expansion_score_factor': 0.8779248726949423, 'min_valid_path_fraction': 0.7742091832994852, 'type': 'geometric::BKPIECE'}"
7,41.9401721954,0.4275181293,BKPIECEkConfigDefault,1,2.1071250439,0.4275181293,1.7031000821,9.0961011389,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6314364325327209, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.3812415757269676, 'failed_expansion_score_factor': 0.12951761905063325, 'min_valid_path_fraction': 0.33948287955882517, 'type': 'geometric::BKPIECE'}"
8,48.4223771095,0.5779869556,BKPIECEkConfigDefault,1,2.1646611691,0.5779869556,1.7029776499,9.5507265069,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6193629989707925, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.378685518681157, 'failed_expansion_score_factor': 0.7612475547541216, 'min_valid_path_fraction': 0.22127599001208315, 'type': 'geometric::BKPIECE'}"
9,54.6553010941,0.8052589893,BKPIECEkConfigDefault,1,1.7154428959,0.8052589893,1.7029769701,7.542191165,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.09585101244693432, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.9090505131415847, 'failed_expansion_score_factor': 0.23775491358037126, 'min_valid_path_fraction': 0.9770518119564984, 'type': 'geometric::BKPIECE'}"
10,59.8024539948,1.0918681622,BKPIECEkConfigDefault,1,1.5960099697,1.0918681622,1.7029435449,6.7747680978,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.45456555295585716, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.6700593961207326, 'failed_expansion_score_factor': 0.47194938979228623, 'min_valid_path_fraction': 0.9426709737673604, 'type': 'geometric::BKPIECE'}"
11,65.3897681236,0.5395209789,BKPIECEkConfigDefault,1,1.7302629948,0.5395209789,1.7029413754,7.7558089175,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.9446752024898551, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 1.1323659966865376, 'failed_expansion_score_factor': 0.3634801417148624, 'min_valid_path_fraction': 0.6233192401393337, 'type': 'geometric::BKPIECE'}"
12,74.5293750763,3,BKPIECEkConfigDefault,1,0.0031750202,3.0051989555,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.9626243629221873, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.22999573908628418, 'failed_expansion_score_factor': 0.8746871556040288, 'min_valid_path_fraction': 0.709081511613703, 'type': 'geometric::BKPIECE'}"
